Ticker,EBIT,EV,EY,ROC
AAL,3088000000.0,47294782903.96819,0.06529261390775738,0.04065939853584031
AAME,-1845000.0,62974739.82904625,-0.029297461252059332,
AAOI,-179905000.0,2721823158.677368,-0.0660972405302857,-0.29694937970830776
AAON,209496000.0,6506569291.205475,0.03219761300062734,0.13727351894115866
AAPL,133050000000.0,3926121529427.185,0.033888405899501484,0.5465322620397298
AARD,-22668000.0,237431822.24707794,-0.0954716170118556,-0.3091863875059674
ABAT,-46743180.0,614019651.4912176,-0.0761265211731885,-0.37410054807283977
ABEO,-59526000.0,282569893.0502,-0.21065938539115667,-0.593325758028826
ABLV,-9189067.0,28405218.47530228,-0.3234992544764158,-0.28917961891760313
ABNB,2553000000.0,79330772243.37102,0.03218171117971604,0.23022815402651275
ABOS,-98261000.0,113646116.3276732,-0.8646225949040471,-0.4640994880126958
ABP,-6845000.0,12565436.581911087,-0.5447482827499925,0.47236215582085433
ABSI,-102471000.0,573385551.7518907,-0.17871221150745034,-0.4698629446046761
ABTC,496847000.0,,,0.45202879682372454
ABTS,-766499.0,12567798.126020432,-0.06098912413408652,-0.038679136789538646
ABUS,-69783000.0,903500224.969737,-0.07723628403339623,-0.579371668631586
ABVC,-4543677.0,58317818.19948053,-0.07791232834633846,-2.129262048595051
ABVE,-41854199.0,242486294.03281403,-0.17260439055716756,-0.7529775746195627
ACAD,84279000.0,4371371435.047548,0.019279761798389316,0.09989545700224732
ACCL,1079905.0,41556717.36696339,0.025986292191079056,0.41257241664921995
ACDC,-58200000.0,2007915426.6992202,-0.02898528455238478,-0.013700887497351632
ACET,-117118000.0,41858998.16894531,-2.797916938367828,-0.4929644455107564
ACFN,2011000.0,46461930.77761459,0.043282747108066844,0.292296511627907
ACGL,4615000000.0,37264644638.97354,0.12384392886906437,
ACHC,458247000.0,3248973821.7601748,0.14104361104138985,0.054876213062648026
ACIC,113655000.0,567817867.9395027,0.20016101362296193,
ACIU,-50780000.0,339360006.71577454,-0.14963460335657633,-0.3675368948271245
ACIW,322880000.0,5497194361.741394,0.05873541642390074,0.1298480896389364
ACLS,235736000.0,2802771311.4487076,0.08410818215423785,0.19010814428915895
ACLX,-104249000.0,3707465967.232979,-0.028118666744715918,-0.15887571304256387
ACMR,170451000.0,2869456968.606392,0.05940183172803699,0.11247052985878746
ACNT,-4648000.0,168742798.5687256,-0.027544879185507652,-0.026016332973239225
ACOG,-14451088.0,93688935.5,-0.15424540713241428,-0.3047899909356587
ACON,-6457457.0,,,-6.619258146123851
ACRS,-52527000.0,,,-0.2768381829776693
ACRV,-89199000.0,56914623.20466566,-1.5672422125898882,-0.4759843969284788
ACT,929218000.0,6015816536.668129,0.1544624897278947,
ACTG,-31708000.0,192883337.30041075,-0.16438952396709944,-0.033949080661722274
ACTU,-27266611.0,142207571.4000244,-0.19173811022551024,
ACXP,-14103103.0,3126296.0315401554,-4.5111220619284,
ADAG,-32589790.0,12479568.127866507,-2.611451747855598,-0.6208463487589022
ADBE,7100000000.0,141865022589.11133,0.05004757247714245,0.3238164735929946
ADEA,133726000.0,2386536244.9250355,0.05603350893344615,0.1285264619805758
ADGM,-36487000.0,15534909.6875,-2.34871014598552,-0.8518233179250129
ADI,3029828000.0,149579999642.99744,0.020255568974671012,0.06303919385812759
ADIL,-8284457.0,,,
ADMA,139644000.0,4469999058.755684,0.031240275034615506,0.28126982720246857
ADP,5766000000.0,111551290906.1123,0.05168922701981981,0.43946495941465646
ADPT,-148015000.0,2595555525.355423,-0.05702632771831438,-0.2762989400902734
ADSE,-81139000.0,687167824.0255508,-0.11807741451669458,-0.8725749559082893
ADSK,1369000000.0,63537271820.06836,0.02154640828578351,0.22939008042895442
ADTN,-420674000.0,846904229.7376347,-0.4967196823781622,-0.42734051198699713
